Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Action_Bound_Loss        Adv_Mean                 Adv_Std                  
0                        0.001398469540807936     4096                     0.10210742833143766      1000.0                   32                       2.968386650085449        1000.0                   4                        0.006314848084002733     0.02299436554312706      0.0                      0.010392905212938786     0.03916209936141968      
50                       0.015120925969547696     208896                   0.7911656318026532       1000.0                   32                       3.2737314701080322       1000.0003051757812       204                      0.0013077807379886508    0.010404950007796288     0.0                      -0.0006849822821095586   0.01627505011856556      
100                      0.028929289910528396     413696                   4.016422279420773        1000.0                   32                       6.823055744171143        1000.0003051757812       204                      0.0008512873318977654    0.08176053315401077      0.0036288618575781584    -0.001480484614148736    0.013153876177966595     
150                      0.04262707034746806      618496                   4.284568750272868        1000.0                   32                       6.040640354156494        1000.0003051757812       204                      0.000298316590487957     -0.009410170838236809    0.0016574242617934942    0.0002622788306325674    0.007795342244207859     
200                      0.05638303452067905      823296                   3.6751811288395984       1000.0                   32                       5.47237491607666         1000.0003051757812       204                      0.00016922900977078825   -0.066506028175354       0.0010377466678619385    -0.00032533731427975     0.005840526893734932     
250                      0.07011089271969266      1028096                  3.796279492420741        1000.0                   32                       5.492242813110352        1000.0003051757812       204                      0.00014506404113490134   -0.045589644461870193    0.001051640952937305     -0.00010315267718397081  0.005395732820034027     
300                      0.08381424248218536      1232896                  4.1739804522794035       1000.0                   32                       5.863003730773926        1000.0003051757812       204                      0.00012589646212290972   -0.048252493143081665    0.002570530865341425     -4.784456905326806e-05   0.005025921855121851     
350                      0.09758370127942827      1437696                  5.444649508198656        1000.0                   32                       6.2032294273376465       1000.0003051757812       204                      0.0001430968550266698    -0.005739107728004456    0.0023150432389229536    4.011992859886959e-05    0.005356933455914259     
400                      0.11131107681327396      1642496                  9.406003509416776        1000.0                   32                       6.5456719398498535       1000.0003051757812       204                      0.00013133299944456667   -0.06428017467260361     0.002786942757666111     0.0001022137439576909    0.005137735977768898     
450                      0.1250668779346678       1847296                  9.641002677943545        1000.0                   32                       7.049131393432617        1000.0003051757812       204                      0.00015251492732204497   0.004809975624084473     0.003070833859965205     0.00018951929814647883   0.005560680758208036     
500                      0.13878312793042924      2052096                  12.37453078949781        1000.0                   32                       7.276937007904053        1000.0003051757812       204                      0.00015149093815125525   -0.05717072635889053     0.0020985642913728952    -0.00012590740516316146  0.005510156508535147     
550                      0.15245422561963398      2256896                  12.52833831217896        1000.0                   32                       7.839136600494385        1000.0003051757812       204                      0.00012942573812324554   -0.028613228350877762    0.0018354137428104877    2.3805259843356907e-05   0.005094780586659908     
600                      0.16612242248323228      2461696                  13.00618444160041        1000.0                   32                       7.991476535797119        1000.0003051757812       204                      0.00010655004734871909   -0.09971464425325394     0.0023318580351769924    4.380980499263387e-06    0.004623414017260075     
650                      0.17980675048298306      2666496                  15.623970914999006       1000.0                   32                       7.975578308105469        1000.0003051757812       204                      0.00012576940935105085   -0.05506020784378052     0.0013685069279745221    0.00023299209715332836   0.005018854513764381     
700                      0.19349566923247444      2871296                  16.38277212263114        1000.0                   32                       8.29191780090332         1000.0003051757812       204                      0.00011618215648923069   -0.0719497948884964      0.0024792556650936604    0.00017628482601139694   0.004824082367122173     
750                      0.20715056154463027      3076096                  15.843565303679341       1000.0                   32                       7.758385181427002        1000.0003051757812       204                      0.00010309471690561622   -0.027477644383907318    0.0015996479196473956    -7.000876212259755e-05   0.004545436706393957     
800                      0.22085751513640087      3280896                  15.91020228937748        1000.0                   32                       7.506679058074951        1000.0003051757812       204                      9.0359928435646e-05      -0.08761367946863174     0.0020474428310990334    7.761190499877557e-05    0.004255982115864754     
850                      0.23456319563918643      3485696                  15.734531121287553       1000.0                   32                       7.776535987854004        1000.0003051757812       204                      0.00011142979201395065   -0.07462850213050842     0.0012423467123880982    0.00013645514263771474   0.004723455756902695     
900                      0.2481863756974538       3690496                  15.587130075390982       1000.0                   32                       7.841507434844971        1000.0003051757812       204                      0.00010262402065563947   -0.046392299234867096    0.0023905583657324314    -1.909558523038868e-05   0.004553442355245352     
950                      0.26184555762343936      3895296                  15.409750530387953       1000.0                   32                       7.57577657699585         1000.0003051757812       204                      8.528442413080484e-05    -0.1309528648853302      0.0013181132962927222    6.717617361573502e-05    0.004132604692131281     
1000                     0.2755136789878209       4100096                  15.650471240364901       1000.0                   32                       7.636358261108398        1000.0003051757812       204                      8.623832400189713e-05    -0.09011997282505035     0.001914454624056816     0.00022074271691963077   0.004156595095992088     
1050                     0.289211183918847        4304896                  15.374209894080522       1000.0                   32                       7.653132438659668        1000.0003051757812       204                      9.016277908813208e-05    -0.07924120873212814     0.0015828581526875496    1.0212662573394482e-06   0.0042514922097325325    
1100                     0.30297202984491983      4509696                  15.25621147135982        1000.0                   32                       7.406123638153076        1000.0003051757812       204                      8.072909986367449e-05    -0.10091029107570648     0.001324789016507566     0.00031649175798520446   0.00403155293315649      
1150                     0.3166756372981601       4714496                  15.666802835697336       1000.0                   32                       7.437596797943115        1000.0003051757812       204                      9.005320316646248e-05    -0.09873482584953308     0.0018665576353669167    -5.6325785408262163e-05  0.004249348305165768     
1200                     0.3304468896653917       4919296                  14.939824746719797       1000.0                   32                       7.3971686363220215       1000.0003051757812       204                      7.237916724989191e-05    -0.10432171821594238     0.0021616097074002028    -0.0003194754244759679   0.0038172348868101835    
1250                     0.34416983796490563      5124096                  14.195331328389184       1000.0                   32                       7.296230792999268        1000.0003051757812       204                      7.679927512072027e-05    -0.07865297794342041     0.0017378886695951223    3.128223761450499e-05    0.003928060177713633     
1300                     0.35792215314176345      5328896                  14.790310575335862       1000.0                   32                       7.069154739379883        1000.0003051757812       204                      7.648095925105736e-05    -0.06713862717151642     0.0021706721745431423    0.00024433573707938194   0.003915105015039444     
1350                     0.37169448124037846      5533696                  14.248695152832422       1000.0                   32                       7.155874729156494        1000.0003051757812       204                      7.734000246273354e-05    -0.1315905749797821      0.0014840845251455903    -0.00020728338859044015  0.003956467844545841     
1400                     0.38545404467317795      5738496                  6.410269033573542        1000.0                   32                       7.378478527069092        1000.0003051757812       204                      9.791184857022017e-05    -0.07399982213973999     0.0022213351912796497    0.00048794952454045415   0.004478950519114733     
1450                     0.39908400376637776      5943296                  10.348579370098257       1000.0                   32                       7.231428146362305        1000.0003051757812       204                      7.539636135334149e-05    -0.03563578799366951     0.0019803536124527454    0.0003135001752525568    0.003929002210497856     
1500                     0.4128006045685874       6148096                  12.975513086436564       1000.0                   32                       6.9226555824279785       1000.0003051757812       204                      0.00010417733574286103   -0.04026035591959953     0.002450560452416539     -0.00025841640308499336  0.004568564705550671     
1550                     0.42654365254773036      6352896                  15.670822527659602       1000.0                   32                       7.256470680236816        1000.0003051757812       204                      7.522008672822267e-05    -0.012572623789310455    0.002161161508411169     0.00023683915787842125   0.0038842414505779743    
1600                     0.44026629163159264      6557696                  9.846808448614672        1000.0                   32                       7.004180431365967        1000.0003051757812       204                      7.999712397577241e-05    -0.06752225756645203     0.0016572668682783842    0.0003732487966772169    0.0040038228034973145    
1650                     0.45394191609488593      6762496                  5.244788399559329        1000.0                   32                       6.906033515930176        1000.0003051757812       204                      7.207176531665027e-05    -0.07052940130233765     0.0023170970380306244    -0.00014769440167583525  0.0038163457065820694    
